DateFrom,POS,CallCenter,Online
2016-01-01,4572926,2440513,7479592
2016-02-01,4589463,2374194,7408863
2016-03-01,5002279,2708644,7818720
2016-04-01,5434831,3046337,7755839
2016-05-01,5149917,2819567,7579244
2016-06-01,4484548,2565550,7627945
2016-07-01,4763713,2360273,7799584
2016-08-01,5550877,2488067,8631791
2016-09-01,5031187,2498879,7722233
2016-10-01,5763268,2684022,8281675
2016-11-01,15907887,5151357,23281039
2016-12-01,11687953,3890821,16911116
2017-01-01,5149007,2872475,9180110
2017-02-01,5093199,2698897,8076541
2017-03-01,5988868,3280573,9240906
2017-04-01,6694391,3623106,9432366
2017-05-01,5812342,3289862,9510253
2017-06-01,5154266,3253050,9337619
2017-07-01,5660140,3167242,9942399
2017-08-01,6331948,3389433,10923319
2017-09-01,5593394,3425506,9218909
2017-10-01,6769012,3664627,10389753
2017-11-01,19976436,7681365,28979081
2017-12-01,13001014,5736908,20025783
2018-01-01,5685174,3709051,10053374
2018-02-01,5433758,3508396,9090166
2018-03-01,6696656,4012518,10534116
2018-04-01,7740326,4949003,11060530
2018-05-01,6373098,4216477,10293760
2018-06-01,5546743,3849321,9710239
2018-07-01,6384799,3746938,10291031
2018-08-01,7505078,4351983,11596274
2018-09-01,6878982,4223211,10447393
2018-10-01,8740555,4709340,11229193
2018-11-01,22736795,9185227,31083987
2018-12-01,14565363,5946424,19994685
2019-01-01,6528983,4408586,10284359
2019-02-01,6067030,4201585,9503323
2019-03-01,7839106,4719123,11363504
2019-04-01,8035403,5310875,11365627
2019-05-01,8829465,5667289,12198425
2019-06-01,6477331,4346670,10130902
2019-07-01,7348710,4569846,11280187
2019-08-01,9417523,5328382,12893153
2019-09-01,7065122,4616621,10439827
2019-10-01,8611449,4753089,11103750
2019-11-01,21320169,8968033,29090623
2019-12-01,19236330,8102055,27788182
2020-01-01,6761473,4899342,10782148
